"V1","V2","V3"
4658234,-0.54067132605319,9.14392377262326e-77
32354658,-0.540595753589522,9.68589419858868e-77
20131320,-0.53982553326877,1.74038493186524e-76
18073060,-0.539789718795727,1.78839535456545e-76
24880317,-0.539556089764206,2.13561299043286e-76
33956210,-0.53953942382215,2.16280443188131e-76
3305140,-0.539472657636391,2.27523739660674e-76
12277724,-0.539421523190724,2.36526519340748e-76
16293389,-0.539394513028626,2.4142420142945e-76
32374513,-0.53934392193318,2.50871011809108e-76
9526141,-0.539157667421627,2.88932627062109e-76
28912797,-0.539079319496115,3.06612839208415e-76
20127082,-0.538861923131242,3.6151483542281e-76
20123316,-0.538770558955378,3.87413314386853e-76
32346703,-0.5387343882764,3.981695369763e-76
18080458,-0.538683737050812,4.13733339929215e-76
2166398,-0.53866203344847,4.20586274500262e-76
9319954,-0.538636500838719,4.28793019854906e-76
9531464,-0.538602891439964,4.39839343502304e-76
15423449,-0.538594099075057,4.42775565163681e-76
13061063,-0.538571443850433,4.50431538787883e-76
28926001,-0.538536666961257,4.62441025153274e-76
33958719,-0.538441876777299,4.96817968620256e-76
9324818,-0.538410136995278,5.08888208212553e-76
15061613,-0.538408182798196,5.09640833478674e-76
9314702,-0.538309192056935,5.49251022771018e-76
24883073,-0.538210804618374,5.9165522473235e-76
30395115,-0.538062532549725,6.61792873168535e-76
25362733,-0.538013784556463,6.86614160260082e-76
15540695,-0.537922201327886,7.35779133946195e-76
17096042,-0.537818590487907,7.95637953887592e-76
28917063,-0.537812153238006,7.9951295455362e-76
18272549,-0.537810375008736,8.00586694761056e-76
28927764,-0.537567681824575,9.61446251394206e-76
18070822,-0.537541277763968,9.80781346365071e-76
22996202,-0.537539514644172,9.8208614052895e-76
7293660,-0.53749886184994,1.01265514540578e-75
20129839,-0.537392085136133,1.09753294663224e-75
11334676,-0.537188463515278,1.27950911903192e-75
18067987,-0.53660843439513,1.9796193377404e-75
3311386,-0.536447345529554,2.23437380606185e-75
28926727,-0.536410707448112,2.2967267865758e-75
20136543,-0.536226808487506,2.63685239706098e-75
15204412,-0.536219867784798,2.65062764696434e-75
11328341,-0.536174086030095,2.74330314164212e-75
9324137,-0.536123781186457,2.84885786859176e-75
20366622,-0.53536687387333,5.02403360959586e-75
28071666,-0.535345395459841,5.10545990879453e-75
9330332,-0.535148999980376,5.91366856364843e-75
24876869,-0.535087858844107,6.19037940097729e-75
30396619,-0.535008349302843,6.56958615849674e-75
